ticket_id,category,priority,status,summary,issue,resolution,assignment_group,source,created_at,resolved_at,sla_target_hours,actual_resolution_hours,sla_breached
INC10052,identity,P3,Resolved,SSO redirect loop on claims portal,UPN suffix mismatch after domain migration,"Switched MFA delivery to TOTP app, removed SMS fallback",Desktop-Support,ServiceNow,2026-01-01T12:55:13,2026-01-02T09:13:13,24,20.3,FALSE
INC10095,application,P3,Resolved,Policy upload timing out on large files,Blob storage SAS token expiry not handled gracefully,"Increased app pool recycling interval to 4h, added warm-up script",Desktop-Support,ServiceNow,2026-01-02T07:51:49,2026-01-02T14:21:49,24,6.5,FALSE
INC10173,network,P1,Resolved,BGP route advertisement issue,Phase-2 IPsec proposal mismatch causing tunnel reset,Aligned MTU to 1400 bytes on MPLS edge router,App-Support,ServiceNow,2026-01-02T20:16:56,2026-01-02T23:34:56,4,3.3,FALSE
INC10119,network,P1,Resolved,Site-to-site tunnel flapping,STP topology change flooding broadcast domain,Updated ACL to permit required subnet with audit log,Desktop-Support,ServiceNow,2026-01-04T14:42:37,2026-01-04T17:00:37,4,2.3,FALSE
INC10044,application,P4,Resolved,Database connection pool exhausted,Blob storage SAS token expiry not handled gracefully,Updated API gateway CORS allowlist with verified origins,IAM-Team,ServiceNow,2026-01-04T17:08:44,2026-01-10T11:44:44,72,138.6,TRUE
INC10068,security,P3,Resolved,Vulnerability scanner flagging CVE on web server,Credential reuse from compromised third-party site,Tuned SOC alert threshold and added suppression for known IPs,DBA-Team,ServiceNow,2026-01-04T23:41:52,2026-01-05T12:11:52,24,12.5,FALSE
INC10100,identity,P4,Resolved,MFA enrollment failure for new hires,UPN suffix mismatch after domain migration,"Switched MFA delivery to TOTP app, removed SMS fallback",Service-Desk,ServiceNow,2026-01-05T05:42:20,2026-01-06T21:36:20,72,39.9,FALSE
INC10027,network,P3,Resolved,Switch port showing CRC errors,Phase-2 IPsec proposal mismatch causing tunnel reset,Replaced stale phase-2 proposal with AES-256-GCM and rekeyed,Service-Desk,ServiceNow,2026-01-06T16:16:33,2026-01-07T06:52:33,24,14.6,FALSE
INC10012,security,P3,Resolved,Data loss prevention alert on email attachment,SOC alert threshold too low causing false positive storm,Renewed certificate via ACME and added renewal alert at 30d,Network-Ops,ServiceNow,2026-01-07T04:01:49,2026-01-07T19:31:49,24,15.5,FALSE
INC10009,security,P3,Resolved,Vulnerability scanner flagging CVE on web server,Phishing kit using homograph domain,Removed public-read ACL and enabled access logging on bucket,Cloud-Infra,ServiceNow,2026-01-07T10:13:50,2026-01-10T07:37:50,24,69.4,TRUE
INC10017,network,P3,Resolved,Network latency spike on corporate LAN,STP topology change flooding broadcast domain,Increased NAT translation table to 65k entries,Desktop-Support,ServiceNow,2026-01-07T17:16:36,2026-01-08T07:40:36,24,14.4,FALSE
INC10024,identity,P2,Resolved,SSO redirect loop on claims portal,Stale federation metadata not updated after cert rotation,Forced token cache flush via PowerShell + re-enrollment,Network-Ops,ServiceNow,2026-01-08T07:39:34,2026-01-08T14:27:34,8,6.8,FALSE
INC10171,application,P1,Resolved,Policy upload timing out on large files,Redis cache eviction under memory pressure,Refactored synchronous DB calls to async with connection pooling,Desktop-Support,ServiceNow,2026-01-08T22:09:16,2026-01-08T23:03:16,4,0.9,FALSE
INC10071,identity,P2,Resolved,Service account expired — breaking automated jobs,Token cache not cleared after password change,Forced token cache flush via PowerShell + re-enrollment,Cloud-Infra,ServiceNow,2026-01-09T09:56:21,2026-01-09T14:14:21,8,4.3,FALSE
